Symbol,Last_Price,Volume_Avg,VWAP,Last_Updated
TBOTEK,1414.5,71945.88,1415.2,12:58:39
TCS,3418.1,1193585.22,3418.36,13:04:45
TECHM,1674.4,865707.09,1677.93,13:04:45
TECHNOE,1570.2,138406.9,1572.6,13:04:45
TEJASNET,707.8,410537.89,708.91,13:04:45
THERMAX,3504.9,251038.33,3506.21,13:04:45
TIINDIA,2951.5,346904.33,2941.46,13:04:45
TIMKEN,3377.0,46239.71,3381.58,13:04:45
TITAGARH,942.05,811352.86,943.54,13:04:45
TITAN,3687.4,235364.5,3693.69,13:04:48
TORNTPHARM,3331.5,279182.5,3328.67,13:04:48
TORNTPOWER,1449.3,91457.33,1452.14,13:04:48
TRENT,6201.0,317112.25,6185.72,13:04:48
TRIDENT,30.83,2699820.4,30.82,13:04:48
TRITURBINE,630.6,842251.57,630.25,12:52:53
TRIVENI,374.0,125575.17,373.97,12:58:43
TTML,0.0,0.0,0.0,Never
TVSMOTOR,2912.8,389066.9,2917.22,13:04:48
UBL,1980.2,69282.36,1981.72,13:04:48
UCOBANK,32.4,4613101.64,32.37,13:04:48
ULTRACEMCO,12475.0,125520.1,12495.02,13:04:48
UNIONBANK,150.78,4295807.0,151.26,13:04:48
UNITDSPR,1387.1,397348.0,1388.03,13:04:51
UNOMINDA,1114.9,525401.33,1116.18,13:04:48
UPL,682.45,1906093.25,680.32,13:04:48
USHAMART,372.55,890753.0,372.73,13:04:48
UTIAMC,1280.0,53525.33,1281.51,13:04:51
VBL,454.95,1751218.33,454.99,13:04:51
VEDL,462.3,9631197.5,463.68,13:04:51
VGUARD,397.5,432374.25,397.03,12:52:57
VIJAYA,1008.5,361065.5,1007.22,12:52:57
VMM,130.02,10197532.5,130.15,12:40:59
VOLTAS,1373.2,1800884.17,1371.87,12:58:46
VTL,503.6,100201.67,504.64,13:04:51
WAAREEENER,3006.9,1252935.4,3005.02,13:04:51
WELCORP,927.1,335504.78,931.02,13:04:51
WELSPUNLIV,142.72,3662820.6,142.8,13:04:51
WESTLIFE,760.6,24462.0,760.46,13:04:51
WHIRLPOOL,1404.2,192441.89,1409.32,13:04:51
WIPRO,268.35,4478852.78,268.34,13:04:51
WOCKPHARMA,1742.2,365031.0,1731.68,13:04:51
YESBANK,20.18,30087341.6,20.18,13:04:56
ZEEL,142.71,4965863.6,142.22,13:04:56
ZENSARTECH,862.0,258252.17,862.2,13:04:56
ZENTEC,1928.7,139211.0,1930.32,13:04:56
ZFCVINDIA,13279.0,3492.57,13365.36,12:52:57
ZYDUSLIFE,997.1,371376.33,996.36,12:53:01
